"id","name","unit","description","sample_type","method"
"p13n_vatten.parameter_1","pH","UpH","Potencial de hidrógeno","Agua",""
"p13n_vatten.parameter_2","Conductividad","μS/cm","Conductividad eléctrica","Agua",""
"p13n_vatten.parameter_3","Dureza total","ppm CaCO3","Dureza total","Agua",""
"p13n_vatten.parameter_4","Alc F","ppm CaCO3","Alcalinidad a la fenolftaleína","Agua",""
"p13n_vatten.parameter_5","Alc M","ppm CaCO3","Alcalinidad total","Agua",""
"p13n_vatten.parameter_6","Alc OH","ppm CaCO3","Alcalinidad de hidróxidos","Agua",""
"p13n_vatten.parameter_7","Sílice","ppm SiO2","Sílice","Agua",""
"p13n_vatten.parameter_8","Cloruros","ppm Cl","Cloruros","Agua",""
"p13n_vatten.parameter_9","Hierro","ppm Fe","Hierro","Agua",""
"p13n_vatten.parameter_10","Dispersante","ppm","Dispersante","Agua",""
"p13n_vatten.parameter_11","Anticorrosivo","ppm","Anticorrosivo","Agua",""
"p13n_vatten.parameter_12","DISANIT 1150","ppm","","Agua",""
"p13n_vatten.parameter_13","DISANIT 1175","ppm","","Agua",""
"p13n_vatten.parameter_14","DISANSIL 1010","ppm","","Agua",""
"p13n_vatten.parameter_15","DSF 013","ppm","","Agua",""
"p13n_vatten.parameter_16","DSF 1550","ppm","","Agua",""
"p13n_vatten.parameter_17","DSF 1804","ppm","","Agua",""
"p13n_vatten.parameter_18","DSF 1818","ppm","","Agua",""
"p13n_vatten.parameter_19","DSF 3022","ppm","","Agua",""
"p13n_vatten.parameter_20","DSF 403","ppm","","Agua",""
"p13n_vatten.parameter_21","DSF 441","ppm","","Agua",""
"p13n_vatten.parameter_22","DSF 4917","ppm","","Agua",""
"p13n_vatten.parameter_23","DSF 4918","ppm","","Agua",""
"p13n_vatten.parameter_24","DSF 4920","ppm","","Agua",""
"p13n_vatten.parameter_25","DSF 4980","ppm","","Agua",""
"p13n_vatten.parameter_26","DSF 651","ppm","","Agua",""
"p13n_vatten.parameter_27","DSF 7512","ppm","","Agua",""
"p13n_vatten.parameter_28","MICROCIDE GL 10","ppm","","Agua",""
"p13n_vatten.parameter_29","MICROCIDE GL 40","ppm","","Agua",""
